LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232030138;0.004652867383512545;Products;37;49;-1;49;-1;-1;49;-1;0.4;1
232030139;0.05017921146953405;Products;37;47;47;-1;47;37;37;-1;0.0;0
232030140;0.03225806451612903;Products;37;37;-1;37;-1;-1;37;-1;0.4;1
232030142;0.005509964157706094;Products;37;38;-1;38;-1;37;37;-1;0.4;1
232030143;0.09810394265232975;Products;37;63;63;-1;63;37;37;-1;0.0;0
232030144;0.0392831541218638;Products;37;58;-1;58;37;37;50;56;0.8;1
232030146;0.0;Products;37;37;37;-1;37;-1;37;-1;0.4;0
232030147;0.06218637992831541;Products;37;68;68;-1;68;37;37;-1;0.0;0
232030150;0.0009449103942652334;Products;37;59;-1;59;-1;-1;59;-1;0.4;1
232030151;0.03225806451612903;Products;37;43;-1;43;-1;42;42;-1;0.4;1
232030152;0.015434767025089606;Products;37;46;-1;46;37;-1;37;-1;0.4;1
232030154;0.012890286738351256;Products;37;38;-1;38;-1;37;37;-1;0.4;1
232030155;0.004301075268817204;Products;37;66;-1;66;-1;37;37;-1;0.4;1
232030156;0.002839462365591398;Products;37;38;-1;38;-1;37;37;-1;0.4;1
232030157;0.007043010752688172;Products;37;47;47;-1;47;-1;47;-1;0.4;0
232030162;0.025835125448028674;Systems & Services;37;52;-1;52;-1;-1;37;37;0.8;1
232030166;0.009813620071684587;Products;37;42;-1;42;-1;37;37;-1;0.4;1
232030168;0.035842293906810034;Products;37;66;66;-1;66;37;37;-1;0.0;0
232030170;0.0004047311827956992;Products;37;38;-1;38;-1;-1;38;38;0.8;1
232030171;0.012544802867383513;Products;38;69;69;-1;38;-1;38;-1;0.4;0
232030176;0.06810035842293907;Products;38;38;38;-1;38;38;38;-1;0.4;0
232030178;0.3548387096774194;Systems & Services;38;47;47;-1;38;38;-1;-1;0.2;0
232030179;0.011617956989247311;Products;38;60;-1;60;-1;38;38;-1;0.4;1
232030181;0.007168458781362007;Products;38;38;38;-1;38;-1;38;-1;0.4;0
232030182;0.03383870967741936;Products;38;43;-1;43;38;-1;38;-1;0.4;1
232030183;0.03225806451612903;Products;38;38;38;-1;38;-1;38;-1;0.4;0
232030184;0.043010752688172046;Products;38;69;69;-1;38;-1;38;-1;0.4;0
232030185;0.12186379928315412;Systems & Services;38;46;-1;46;-1;38;38;-1;0.4;1
232030186;0.006353046594982079;Products;38;42;-1;42;-1;-1;42;-1;0.4;1
232030193;0.03225806451612903;Products;38;38;-1;38;-1;-1;38;38;0.8;1
232030198;0.0;Products;38;38;38;-1;-1;-1;-1;-1;0.0;0
232030200;0.004188745519713261;Products;38;38;-1;38;-1;38;38;-1;0.4;1
232030201;0.08795795698924731;Products;38;38;-1;38;-1;-1;-1;38;0.8;1
232030203;0.017275197132616486;Products;38;38;-1;38;-1;38;38;38;0.8;1
232030205;0.0024921863799283153;Products;38;38;-1;38;-1;38;38;-1;0.4;1
232030206;0.00362326164874552;Products;38;39;-1;39;-1;38;-1;38;0.8;1
232030207;0.009014587813620072;Products;38;39;-1;39;38;-1;38;38;0.8;1
232030208;0.008960573476702509;Products;38;47;-1;47;38;-1;38;-1;0.4;1
232030210;0.17562724014336917;Products;38;42;42;-1;42;-1;42;-1;0.4;0
232030213;0.0;Products;38;38;38;-1;-1;-1;-1;-1;0.0;0
232030215;0.014336917562724014;Products;38;39;39;-1;38;38;-1;-1;0.2;0
232030216;0.08602150537634409;Products;38;39;39;-1;39;38;38;-1;0.0;0
232030217;0.014336917562724014;Products;38;38;38;-1;38;-1;38;-1;0.4;0
232030219;0.3548387096774194;Systems & Services;38;47;-1;47;-1;38;-1;38;0.8;1
232030220;0.03225806451612903;Systems & Services;38;44;44;-1;44;44;-1;-1;0.2;0
232030222;0.00543426523297491;Products;38;68;68;-1;38;-1;38;-1;0.4;0
